清单,名称,UI命中面数,GP命中面数,UI命中面,GP命中面
CodeBuddyFuncs,AddChildAtIndex,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,AddControlToAlwaysReceiveInput,1,0,UITutorialManager,
CodeBuddyFuncs,AddToolTipDisplayCallback,1,0,TTManager,
CodeBuddyFuncs,AddVertex,0,0,,
CodeBuddyFuncs,BranchResetAnimation,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,BreakLine,0,0,,
CodeBuddyFuncs,BuildEntry,0,0,,
CodeBuddyFuncs,BuildInstance,2,0,"InstanceManager, __SC.C_ContextPtr",
CodeBuddyFuncs,BuildInstanceForControl,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,BuildInstanceForControlAtIndex,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,CPP_ClearCallback,0,0,,
CodeBuddyFuncs,CPP_GetButton,0,0,,
CodeBuddyFuncs,CPP_GetHash,0,0,,
CodeBuddyFuncs,CPP_GetText,0,0,,
CodeBuddyFuncs,CPP_GetText_const,0,0,,
CodeBuddyFuncs,CPP_GetType,0,0,,
CodeBuddyFuncs,CPP_RegisterCallback,0,0,,
CodeBuddyFuncs,CPP_RegisterCallback_alt,0,0,,
CodeBuddyFuncs,CPP_SetText,0,0,,
CodeBuddyFuncs,CPP_SetTexture,0,0,,
CodeBuddyFuncs,CPP_SetToolTipString,0,0,,
CodeBuddyFuncs,CPP_SetToolTipType,0,0,,
CodeBuddyFuncs,C_ClearCallback,0,0,,
CodeBuddyFuncs,C_GetButton,0,0,,
CodeBuddyFuncs,C_GetHash,0,0,,
CodeBuddyFuncs,C_GetText,0,0,,
CodeBuddyFuncs,C_GetType,0,0,,
CodeBuddyFuncs,C_RegisterCallback,0,0,,
CodeBuddyFuncs,C_SetText,0,0,,
CodeBuddyFuncs,C_SetTexture,0,0,,
CodeBuddyFuncs,C_SetToolTipString,0,0,,
CodeBuddyFuncs,C_SetToolTipType,0,0,,
CodeBuddyFuncs,CalculateInternalSize,0,0,,
CodeBuddyFuncs,CalculateInternals,0,0,,
CodeBuddyFuncs,CalculateSize,0,0,,
CodeBuddyFuncs,CalculateVisibilityBox,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,CallParentShowHideHandler,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,ChangeParent,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,Clear,0,0,,
CodeBuddyFuncs,ClearAll,0,0,,
CodeBuddyFuncs,ClearAllPaths,0,0,,
CodeBuddyFuncs,ClearAnimCallback,0,0,,
CodeBuddyFuncs,ClearChannel,0,0,,
CodeBuddyFuncs,ClearContextParameters,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,ClearCurrent,1,0,TTManager,
CodeBuddyFuncs,ClearDownEndCallback,0,0,,
CodeBuddyFuncs,ClearEndCallback,0,0,,
CodeBuddyFuncs,ClearEntries,0,0,,
CodeBuddyFuncs,ClearGlobalInputHandler,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,ClearHexes,1,0,UILens,
CodeBuddyFuncs,ClearMouseEnterCallback,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,ClearMouseExitCallback,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,ClearMouseOverCallback,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,ClearPersistantInputControls,1,0,UITutorialManager,
CodeBuddyFuncs,ClearPlotChannel,0,0,,
CodeBuddyFuncs,ClearPlotsByChannel,0,0,,
CodeBuddyFuncs,ClearPopupChangeHandler,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,ClearPopupParameters,1,0,__SC.C_ContextPtr,
