id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
C-Cities,CONTEXT,Cities,,,Dot (Global),Both,objects,namespace,Cities,,table,是,,,命名空间存在,table,是,,,命名空间存在,,双端,一致,,
A-CitiesDestroyCity,ACTION,Cities,DestroyCity,,Dot (Global),GamePlay,objects,dot,Cities.DestroyCity,,function,是,,,,nil,否,,,命名空间存在但无此成员,,仅GP,一致,"Player:::object, City:::object",
Q-CitiesGetCityInPlot,QUERY,Cities,GetCityInPlot,,Dot (Global),Both,objects,dot,Cities.GetCityInPlot,,function,是,,,,function,是,,,,,双端,一致,"x:::number, y:::number",City:::object
Q-CitiesGetPlotPurchaseCity,QUERY,Cities,GetPlotPurchaseCity,,Dot (Global),Both,objects,dot,Cities.GetPlotPurchaseCity,,function,是,,,,function,是,,,,,双端,一致,plotID:::number,City:::object
Q-CitiesGetPlotWorkingCity,QUERY,Cities,GetPlotWorkingCity,,Dot (Global),Both,objects,dot,Cities.GetPlotWorkingCity,,function,是,,,,function,是,,,,,双端,一致,plotID:::number,City:::object
Q-CitiesIsCityInPlot,QUERY,Cities,IsCityInPlot,,Dot (Global),GamePlay,objects,dot,Cities.IsCityInPlot,,function,是,,,,nil,否,,,命名空间存在但无此成员,,仅GP,一致,Plot:::object,[True/False]:::boolean
O-City,OBJECT,City,,,Colon (Instance),Both,objects,colon-obj,__SC.C_City,,table,是,,,经 instance:player-cities 检出,table,是,,,经 instance:player-cities 检出,,双端,一致,,
Q-CityCanRaze,QUERY,City,CanRaze,,Colon (Instance),UI,objects,colon,__SC.C_City.CanRaze,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,[True/False]:::boolean
A-CityChangeLoyalty,ACTION,City,ChangeLoyalty,,Colon (Instance),GamePlay,objects,colon,__SC.C_City.ChangeLoyalty,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,amount:::number,
A-CityChangePopulation,ACTION,City,ChangePopulation,,Colon (Instance),GamePlay,objects,colon,__SC.C_City.ChangePopulation,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,amount:::number,
Q-CityGetAmenityAdvice,QUERY,City,GetAmenityAdvice,,Colon (Instance),UI,objects,colon,__SC.C_City.GetAmenityAdvice,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,amenityAdvice:::string
Q-CityGetAssignedGovernor,QUERY,City,GetAssignedGovernor,,Colon (Instance),UI,objects,colon,__SC.C_City.GetAssignedGovernor,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,CacheGovernor:::object
Q-CityGetBuildingPotentialYield,QUERY,City,GetBuildingPotentialYield,,Colon (Instance),UI,objects,colon,__SC.C_City.GetBuildingPotentialYield,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"buildingHash:::number, yieldType:::string, whenHasPower:::boolean",amount:::number
Q-CityGetBuildings,QUERY,City,GetBuildings,,Colon (Instance),Both,objects,colon,__SC.C_City.GetBuildings,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,,CityBuildings:::object
Q-CityGetBuildingsGetBuildingsAtLocation,QUERY,City,GetBuildings,GetBuildingsAtLocation,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetBuildingsAtLocation,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,plotID:::number,buildings:::table
Q-CityGetBuildingsGetBuildingTourismFromGreatWorks,QUERY,City,GetBuildings,GetBuildingTourismFromGreatWorks,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetBuildingTourismFromGreatWorks,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"includingReligiousTourism:::boolean, buildingIndex:::number",tourism:::number
Q-CityGetBuildingsGetBuildingYieldFromGreatWorks,QUERY,City,GetBuildings,GetBuildingYieldFromGreatWorks,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetBuildingYieldFromGreatWorks,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"yieldID:::number, buildingIndex:::number",amount:::number
Q-CityGetBuildingsGetCity,QUERY,City,GetBuildings,GetCity,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildings.GetCity,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,,City:::object
Q-CityGetBuildingsGetCreatorNameFromIndex,QUERY,City,GetBuildings,GetCreatorNameFromIndex,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetCreatorNameFromIndex,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,greatWorkID:::number,creatorName:::string
Q-CityGetBuildingsGetGreatWorkInSlot,QUERY,City,GetBuildings,GetGreatWorkInSlot,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetGreatWorkInSlot,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"buildingIndex:::number, slotID:::number",greatWorkID:::number
Q-CityGetBuildingsGetGreatWorkSlotType,QUERY,City,GetBuildings,GetGreatWorkSlotType,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetGreatWorkSlotType,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"buildingIndex:::number, slotID:::number",slotType:::number
Q-CityGetBuildingsGetGreatWorkTypeFromIndex,QUERY,City,GetBuildings,GetGreatWorkTypeFromIndex,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetGreatWorkTypeFromIndex,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,greatWorkID:::number,greatWorkType:::number
Q-CityGetBuildingsGetNumGreatWorkSlots,QUERY,City,GetBuildings,GetNumGreatWorkSlots,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetNumGreatWorkSlots,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,buildingIndex:::number,amount:::number
Q-CityGetBuildingsGetTurnFromIndex,QUERY,City,GetBuildings,GetTurnFromIndex,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetTurnFromIndex,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,greatWorkID:::number,turn:::number
Q-CityGetBuildingsHasBuilding,QUERY,City,GetBuildings,HasBuilding,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildings.HasBuilding,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,buildingIndex:::number,[True/False]:::boolean
Q-CityGetBuildingsIsBuildingThemedCorrectly,QUERY,City,GetBuildings,IsBuildingThemedCorrectly,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.IsBuildingThemedCorrectly,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,buildingIndex:::number,[True/False]:::boolean
Q-CityGetBuildingsIsPillaged,QUERY,City,GetBuildings,IsPillaged,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildings.IsPillaged,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,buildingIndex:::number,[True/False]:::boolean
