对象/命名空间,GP方法数,UI方法数,共有,仅GP,仅UI,仅GP清单,仅UI清单
C_City,29,42,18,11,24,AttachModifierByID ChangeLoyalty ChangePopulation GetBuildingFaithPurchaseEnabled GetOwnedPlots GetPlot GetUnitFaithPurchaseEnabled SetBuildingFaithPurchaseEnabled SetName SetProperty SetUnitFaithPurchaseEnabled,CanRaze GetAllAssignedGovernors GetAmenityAdvice GetAssignedGovernor GetBuildingPotentialYield GetBuildingYield GetCityAI GetComponentID GetCulturalIdentity GetCulture GetDistrictID GetGold GetHousingAdvice GetJustConqueredFrom GetLastTransferType GetLoyaltyAdvice GetOwnerBeforeOccupation GetPower GetPowerAdvice GetTrade GetYieldToolTip IsCapital IsOccupied IsOriginalCapital
C_City_P_GetBuildQueue,20,26,5,15,21,AddProgress CheckActiveProduction CreateBuilding CreateDistrict CreateIncompleteBuilding CreateIncompleteDistrict CurrentlyBuilding FinishProgress GetAvailableProductionTypes HasBuildingBeenPlaced HasBuildingProductionProgress HasDistrictBeenPlaced HasDistrictProductionProgress RemoveBuilding RemoveDistrict,GetAt GetBuildingCost GetBuildingProgress GetCity GetConstructionPlot GetConstructionsAtLocation GetCurrentProductionTypeHash GetCurrentProductionTypeModifier GetDistrictCost GetDistrictProgress GetNumEntriesOfProductionTypeHash GetPreviousProductionTypeHash GetProductionYield GetProjectCost GetProjectProgress GetSize GetUnitArmyCost GetUnitCorpsCost GetUnitCost GetUnitProgress GetUnitResourceCost
C_City_P_GetBuildings,10,17,6,4,11,GetBuildingLocation RemoveBuilding SetBuildingLocation SetPillaged,GetBuildingTourismFromGreatWorks GetBuildingYieldFromGreatWorks GetBuildingsAtLocation GetCreatorNameFromIndex GetGreatWorkInSlot GetGreatWorkSlotType GetGreatWorkTypeFromIndex GetNumGreatWorkSlots GetPlayerFromIndex GetTurnFromIndex IsBuildingThemedCorrectly
C_City_P_GetCitizens,5,4,1,4,3,IsYieldDisfavored IsYieldFavored SetDisfavoredYield SetFavoredYield,IsDisfavoredYield IsFavoredYield IsPlotWorked
C_City_P_GetCityAI,0,4,0,0,4,,GetBuildRecommendations GetImprovementRecommendations GetImprovementRecommendationsForBuilder TypeName
C_City_P_GetCulturalIdentity,0,16,0,0,16,,GetCityIdentityPressures GetConversionOutcome GetGovernorIdentityPressures GetIdentitySourcesBreakdown GetIdentitySourcesDetailedBreakdown GetLoyalty GetLoyaltyLevel GetLoyaltyPerTurn GetLoyaltyPerTurnFromIdentityPressureRatio GetLoyaltyPerTurnStatus GetMaxLoyalty GetPlayerIdentitiesInCity GetPotentialTransferPlayer GetTurnsToConversion IsAlwaysFullyLoyal TypeName
C_City_P_GetCulture,0,8,0,0,8,,GetCity GetCultureYield GetCurrentCulture GetNextPlot GetNextPlotCultureCost GetTourism GetTurnsUntilExpansion TypeName
C_City_P_GetDistricts,13,12,4,9,8,GetDistrictAtLocation GetDistrictByID GetDistrictByIndex GetDistrictByType GetDistrictLocation GetNumDistrictsOfType GetPrereqDistrictPlotID RemoveDistrict SetDistrictPillaged,FindID GetCount GetNumAllowedDistrictsRequiringPopulation GetNumZonedDistrictsRequiringPopulation IsComplete IsContaminated IsPillaged Members
C_City_P_GetGold,0,6,0,0,6,,CanPlaceUnit GetPlotPurchaseCost GetPurchaseCost IsBuildingFaithPurchaseEnabled IsUnitFaithPurchaseEnabled TypeName
C_City_P_GetGrowth,14,41,14,0,27,,GetAmenitiesFromCityStates GetAmenitiesFromDistricts GetAmenitiesFromGovernors GetAmenitiesFromGreatPeople GetAmenitiesFromImprovements GetAmenitiesFromNationalParks GetAmenitiesFromNaturalWonders GetAmenitiesFromReligion GetAmenitiesFromStartingEra GetAmenitiesFromTraits GetAmenitiesLostFromBankruptcy GetAmenitiesLostFromWarWeariness GetAmenitiesNeeded GetCity GetFood GetGrowthThreshold GetHappinessGrowthModifier GetHappinessNonFoodYieldModifier GetHousingFromGreatPeople GetHousingFromGreatWorks GetHousingFromStartingEra GetHousingGrowthModifier GetLoyaltyGrowthModifier GetOccupationGrowthModifier GetOtherGrowthModifier GetOverallGrowthModifier GetTurnsUntilStarvation
