库表,GP,UI
Adjacency_YieldChanges,userdata,userdata
Adjacent_AppealYieldChanges,userdata,userdata
AgendaPreferredLeaders,userdata,userdata
AgendaTags,userdata,userdata
AgendaTraits,userdata,userdata
Agendas,userdata,userdata
AiBuildSpecializations,userdata,userdata
AiEvents,userdata,userdata
AiFavoredItems,userdata,userdata
AiListTypes,userdata,userdata
AiLists,userdata,userdata
AiOperationDefs,userdata,userdata
AiOperationLimits,userdata,userdata
AiOperationLists,userdata,userdata
AiOperationTeams,userdata,userdata
AiOperationTypes,userdata,userdata
AiScoutUses,userdata,userdata
AiTeams,userdata,userdata
AllianceEffects,userdata,userdata
Alliances,userdata,userdata
AllowedMoves,userdata,userdata
AllowedOperations,userdata,userdata
AppealHousingChanges,userdata,userdata
BarbarianAttackForces,userdata,userdata
BarbarianTribeForces,userdata,userdata
BarbarianTribeNames,userdata,userdata
BarbarianTribe_ExtraUnits,userdata,userdata
BarbarianTribe_MapConditionSets,userdata,userdata
BarbarianTribe_MapConditions,userdata,userdata
BarbarianTribe_UnitConditions,userdata,userdata
BarbarianTribes,userdata,userdata
BehaviorTreeNodes,userdata,userdata
BehaviorTrees,userdata,userdata
BeliefClasses,userdata,userdata
BeliefModifiers,userdata,userdata
Beliefs,userdata,userdata
BonusMinorStartingUnits,userdata,userdata
BoostHandlers,userdata,userdata
BoostNames,userdata,userdata
Boosts,userdata,userdata
BuildingConditions,userdata,userdata
BuildingModifiers,userdata,userdata
BuildingPrereqs,userdata,userdata
BuildingReplaces,userdata,userdata
Building_BuildChargeProductions,userdata,userdata
Building_CitizenYieldChanges,userdata,userdata
Building_GreatPersonPoints,userdata,userdata
Building_GreatWorks,userdata,userdata
Building_RequiredFeatures,userdata,userdata
Building_ResourceCosts,userdata,userdata
Building_TourismBombs_XP2,userdata,userdata
Building_ValidFeatures,userdata,userdata
Building_ValidTerrains,userdata,userdata
Building_YieldChanges,userdata,userdata
Building_YieldChangesBonusWithPower,userdata,userdata
Building_YieldDistrictCopies,userdata,userdata
Building_YieldsPerEra,userdata,userdata
Buildings,userdata,userdata
Buildings_XP2,userdata,userdata
Calendars,userdata,userdata
CityEvents,userdata,userdata
CityNames,userdata,userdata
CivicModifiers,userdata,userdata
CivicPrereqs,userdata,userdata
CivicQuotes,userdata,userdata
CivicRandomCosts,userdata,userdata
Civics,userdata,userdata
Civics_XP2,userdata,userdata
CivilizationAudioTags,userdata,userdata
CivilizationCitizenNames,userdata,userdata
CivilizationInfo,userdata,userdata
CivilizationLeaders,userdata,userdata
CivilizationLevels,userdata,userdata
CivilizationTraits,userdata,userdata
Civilizations,userdata,userdata
CivilopediaPageChapterHeaders,userdata,userdata
CivilopediaPageChapterParagraphs,userdata,userdata
CivilopediaPageExcludes,userdata,userdata
CivilopediaPageGroupExcludes,userdata,userdata
CivilopediaPageGroupQueries,userdata,userdata
CivilopediaPageGroups,userdata,userdata
CivilopediaPageLayoutChapters,userdata,userdata
CivilopediaPageLayouts,userdata,userdata
CivilopediaPageQueries,userdata,userdata
CivilopediaPageSearchTermQueries,userdata,userdata
CivilopediaPageSearchTerms,userdata,userdata
CivilopediaPages,userdata,userdata
CivilopediaSectionExcludes,userdata,userdata
CivilopediaSections,userdata,userdata
CivilopediaTranslateCharacters,userdata,userdata
CoastalLowlands,userdata,userdata
Colors,userdata,userdata
CommemorationModifiers,userdata,userdata
CommemorationTypes,userdata,userdata
ComplimentModifiers,userdata,userdata
CongressAiChanges,userdata,userdata
Continents,userdata,userdata
CorporationNames,userdata,userdata
DataTypes,userdata,userdata
DealItems,userdata,userdata
Defeats,userdata,userdata
DeforestationEffects,userdata,userdata
DeforestationLevels,userdata,userdata
Difficulties,userdata,userdata
DiplomacyInfo,userdata,userdata
DiplomacyMoodTypes,userdata,userdata
DiplomacySelections,userdata,userdata
DiplomacyStatementSubTypes,userdata,userdata
DiplomacyStatementTypes,userdata,userdata
DiplomacyStatements,userdata,userdata
DiplomaticActions,userdata,userdata
DiplomaticActions_XP1,userdata,userdata
DiplomaticActions_XP2,userdata,userdata
DiplomaticStartStates,userdata,userdata
DiplomaticStateActions,userdata,userdata
DiplomaticStateTransitions,userdata,userdata
DiplomaticStates,userdata,userdata
DiplomaticTriggeredTransitions,userdata,userdata
DiplomaticTriggers,userdata,userdata
DiplomaticTriggers_RequiredStates,userdata,userdata
DiplomaticVisibilitySources,userdata,userdata
DiplomaticVisibilitySources_XP1,userdata,userdata
Discussions,userdata,userdata
DistrictModifiers,userdata,userdata
DistrictReplaces,userdata,userdata
District_Adjacencies,userdata,userdata
District_BuildChargeProductions,userdata,userdata
District_CitizenGreatPersonPoints,userdata,userdata
District_CitizenYieldChanges,userdata,userdata
District_GreatPersonPoints,userdata,userdata
District_RequiredFeatures,userdata,userdata
District_TradeRouteYields,userdata,userdata
District_ValidTerrains,userdata,userdata
Districts,userdata,userdata
Districts_XP2,userdata,userdata
DuplicateCivilizations,userdata,userdata
DuplicateLeaders,userdata,userdata
DynamicModifiers,userdata,userdata
Emergencies_XP2,userdata,userdata
EmergencyAlliances,userdata,userdata
