id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
C-CodeBuddyFuncs,CONTEXT,CodeBuddyFuncs,,,Dot (Global),Both,moduleObjects,namespace,CodeBuddyFuncs,,nil,否,,,文档转储命名空间：运行时不存在该全局,nil,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
A-CodeBuddyFuncsShowBorders,ACTION,CodeBuddyFuncs,ShowBorders,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.ShowBorders,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsIsShiftDown,QUERY,CodeBuddyFuncs,IsShiftDown,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.IsShiftDown,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsSetStartY,QUERY,CodeBuddyFuncs,SetStartY,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.SetStartY,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsSetParentRelativeSizeY,QUERY,CodeBuddyFuncs,SetParentRelativeSizeY,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.SetParentRelativeSizeY,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsClearAllPaths,QUERY,CodeBuddyFuncs,ClearAllPaths,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.ClearAllPaths,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsSetShowHideHandler,QUERY,CodeBuddyFuncs,SetShowHideHandler,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.SetShowHideHandler,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsGetModalContexts,QUERY,CodeBuddyFuncs,GetModalContexts,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.GetModalContexts,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsGetRootContexts,QUERY,CodeBuddyFuncs,GetRootContexts,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.GetRootContexts,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
Q-CodeBuddyFuncsPause,QUERY,CodeBuddyFuncs,Pause,,Dot (Global),Both,moduleObjects,dot,CodeBuddyFuncs.Pause,,ERR,否,,,文档转储命名空间：运行时不存在该全局,ERR,否,,,文档转储命名空间：运行时不存在该全局,,双端未见,文档转储（非运行时命名空间）,,
