id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
Q-CityTypeName,QUERY,City,TypeName,,Dot (Global),Both,objects,dot,City.TypeName,,string,是,,,,ERR,否,,,命名空间 City 在该上下文不存在,,仅GP,文档偏宽：UI 未见,,type:::string
A-DealManagerViewWorkingDeal,ACTION,DealManager,ViewWorkingDeal,,Dot (Global),Both,objects,dot,DealManager.ViewWorkingDeal,,nil,否,,,命名空间存在但无此成员,nil,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,
A-GameChangePlayerEraScore,ACTION,Game,ChangePlayerEraScore,,Dot (Global),Both,objects,dot,Game.ChangePlayerEraScore,,nil,否,,,命名空间存在但无此成员,nil,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,"playerID:::number, amount:::number",
Q-MapGetContinentCoastalPlotsQ-MapGetCityPlotsGetPurchasedByCity,QUERY,Map,GetContinentCoastalPlots,Q-MapGetCityPlotsGetPurchasedByCity,Dot (Global),GamePlay,objects,dot,Map.GetContinentCoastalPlots.Q-MapGetCityPlotsGetPurchasedByCity,__SC.C_Map_P_GetContinentCoastalPlots.Q-MapGetCityPlotsGetPurchasedByCity,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档存疑：GP 未见,,
Q-MapGetImprovementBuilder,QUERY,Map,GetImprovementBuilder,,Dot (Global),Both,objects,dot,Map.GetImprovementBuilder,,nil,否,,,命名空间存在但无此成员,nil,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,MapImprovementBuilder:::object
A-MapGetImprovementBuilderSetImprovementPillaged,ACTION,Map,GetImprovementBuilder,SetImprovementPillaged,Dot (Global),Both,objects,dot,Map.GetImprovementBuilder.SetImprovementPillaged,__SC.C_Map_P_GetImprovementBuilder.SetImprovementPillaged,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,
Q-MapGetWorldSize,QUERY,Map,GetWorldSize,,Dot (Global),Both,objects,dot,Map.GetWorldSize,,nil,否,,,命名空间存在但无此成员,nil,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,
A-PlayerChangeDiplomaticFavor,ACTION,Player,ChangeDiplomaticFavor,,Colon (Instance),Both,objects,colon,__SC.C_Player.ChangeDiplomaticFavor,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,,经 instance:local#0 检查：无此方法,,双端未见,文档偏宽：双端均未见,,
A-PlayerGetAi_DiplomacyGenerateToolTips,ACTION,Player,GetAi_Diplomacy,GenerateToolTips,Colon (Instance),Both,objects,colon-sub,__SC.C_Player_P_GetAi_Diplomacy.GenerateToolTips,,nil,否,,,经 instance:local#0 检查：无此方法,ERR,否,,,父方法 GetAi_Diplomacy 在该上下文不存在 → 子方法必然不存在（运行时该方法面见 GP_UI方法面差异.csv）,,双端未见,文档偏宽：双端均未见,,
Q-PlayerGetAi_DiplomacyGetNumToolTips,QUERY,Player,GetAi_Diplomacy,GetNumToolTips,Colon (Instance),Both,objects,colon-sub,__SC.C_Player_P_GetAi_Diplomacy.GetNumToolTips,,nil,否,,,经 instance:local#0 检查：无此方法,ERR,否,,,父方法 GetAi_Diplomacy 在该上下文不存在 → 子方法必然不存在（运行时该方法面见 GP_UI方法面差异.csv）,,双端未见,文档偏宽：双端均未见,,
