id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
O-DiplomacyDeal,OBJECT,DiplomacyDeal,,,Colon (Instance),Both,objects,colon-obj,__SC.C_DiplomacyDeal,,nil,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,nil,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,
Q-DiplomacyDealIsDemand,QUERY,DiplomacyDeal,IsDemand,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.IsDemand,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,[True/False]:::boolean
Q-DiplomacyDealGetOtherPlayerID,QUERY,DiplomacyDeal,GetOtherPlayerID,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.GetOtherPlayerID,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,playerID:::number
Q-DiplomacyDealFindItemByType,QUERY,DiplomacyDeal,FindItemByType,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.FindItemByType,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,"DealItemTypes itemType::(enum), DealAgreementTypes agreementType::(enum)",DiplomacyDealItem:::object
Q-DiplomacyDealFindItemByValueType,QUERY,DiplomacyDeal,FindItemByValueType,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.FindItemByValueType,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,"DealItemTypes itemType::(enum), DealItemSubTypes dealSubType::(enum), valueType:::number, playerID:::number",DiplomacyDealItem:::object
A-DiplomacyDealRemoveItemByID,ACTION,DiplomacyDeal,RemoveItemByID,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.RemoveItemByID,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,itemID:::number,
A-DiplomacyDealAddItemOfType,ACTION,DiplomacyDeal,AddItemOfType,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.AddItemOfType,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,"DealItemTypes itemType::(enum), playerID:::number",
Q-DiplomacyDealGetPlayer1ID,QUERY,DiplomacyDeal,GetPlayer1ID,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.GetPlayer1ID,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,playerID:::number
Q-DiplomacyDealIsGift,QUERY,DiplomacyDeal,IsGift,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.IsGift,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,[True/False]:::boolean
Q-DiplomacyDealGetItemCount,QUERY,DiplomacyDeal,GetItemCount,,Colon (Instance),Both,objects,colon,__SC.C_DiplomacyDeal.GetItemCount,,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,ERR,不可判,,,无实例通道：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,双端未见,无法验证：需进行中的外交交易会话（DealManager 取出 Deal 实例）,,amount:::number
