命名空间,GP类型,UI类型,GP可见,UI可见,GP键数,UI键数,GP受保护元表,UI受保护元表
Achievements,table,table,是,是,0,0,是,是
Adjacency_YieldChanges,nil,nil,否,否,0,0,,
AiFavoredItems,nil,nil,否,否,0,0,,
AiListTypes,nil,nil,否,否,0,0,,
AiLists,nil,nil,否,否,0,0,,
Alliances,nil,nil,否,否,0,0,,
AppealHousingChanges,nil,nil,否,否,0,0,,
AreaBuilder,table,nil,是,否,0,0,,
Areas,table,nil,是,否,0,0,,
AssetPreview,nil,table,否,是,0,0,,
AutoProfiler,nil,table,否,是,0,0,,是
Automation,table,table,是,是,0,0,,
AutoplayManager,table,table,是,是,0,0,,
BeliefModifiers,nil,nil,否,否,0,0,,
Beliefs,nil,nil,否,否,0,0,,
Benchmark,nil,table,否,是,0,0,,是
Boosts,nil,nil,否,否,0,0,,
BuildingModifiers,nil,nil,否,否,0,0,,
BuildingPrereqs,nil,nil,否,否,0,0,,
BuildingReplaces,nil,nil,否,否,0,0,,
Building_CitizenYieldChanges,nil,nil,否,否,0,0,,
Building_GreatPersonPoints,nil,nil,否,否,0,0,,
Building_GreatWorks,nil,nil,否,否,0,0,,
Building_YieldChanges,nil,nil,否,否,0,0,,
Buildings,nil,nil,否,否,0,0,,
Buildings_XP2,nil,nil,否,否,0,0,,
Calendar,nil,table,否,是,0,0,,
Cities,table,table,是,是,0,0,,
City,table,nil,是,否,0,0,,
CityManager,table,table,是,是,0,0,,
CityNames,nil,nil,否,否,0,0,,
Civics,nil,nil,否,否,0,0,,
Civics_XP2,nil,nil,否,否,0,0,,
CivilizationCitizenNames,nil,nil,否,否,0,0,,
CivilizationLevels,nil,nil,否,否,0,0,,
CivilizationTraits,nil,nil,否,否,0,0,,
Civilizations,nil,nil,否,否,0,0,,
CodeBuddyFuncs,nil,nil,否,否,0,0,,
CodeBuddyFuncsRaw,nil,nil,否,否,0,0,,
Colors,nil,nil,否,否,0,0,,
CombatManager,table,table,是,是,0,0,,
CommemorationBonuses,nil,nil,否,否,0,0,,
ContextPtr,nil,table,否,是,0,0,,
Control,nil,nil,否,否,0,0,,
CorporationNames,nil,nil,否,否,0,0,,
DB,table,table,是,是,0,0,是,是
DealManager,table,table,是,是,0,0,,
Definitions,nil,table,否,是,0,0,,
DiplomacyActions,nil,nil,否,否,0,0,,
DiplomacyDeal,nil,nil,否,否,0,0,,
DiplomacyDealItem,nil,nil,否,否,0,0,,
DiplomacyInfo,nil,nil,否,否,0,0,,
DiplomacyManager,nil,table,否,是,0,0,,
DiplomacySelections,nil,nil,否,否,0,0,,
DiplomacyStatements,nil,nil,否,否,0,0,,
DirtyComponents,nil,nil,否,否,0,0,,
DirtyComponentsManager,nil,table,否,是,0,0,,
DistrictBuildings,nil,nil,否,否,0,0,,
District_Adjacencies,nil,nil,否,否,0,0,,
District_CitizenYieldChanges,nil,nil,否,否,0,0,,
Districts,nil,nil,否,否,0,0,,
DualHeroes,nil,nil,否,否,0,0,,
DynamicModifiers,nil,nil,否,否,0,0,,
EffectsManager,nil,table,否,是,0,0,,
EmergencyRewards,nil,nil,否,否,0,0,,
Eras,nil,nil,否,否,0,0,,
Eras_XP2,nil,nil,否,否,0,0,,
Events,table,table,是,是,0,0,,
FavoredReligions,nil,nil,否,否,0,0,,
FeatureGenerator,nil,table,否,是,0,0,,
Features,nil,nil,否,否,0,0,,
FiraxisLive,nil,table,否,是,0,0,,是
Fractal,table,nil,是,否,0,0,,
FreeCities,nil,nil,否,否,0,0,,
Game,table,table,是,是,0,0,,
GameCapabilities,table,table,是,是,0,0,,
GameClimate,table,table,是,是,0,0,,
GameConfiguration,table,table,是,是,0,0,,
GameEffects,table,table,是,是,0,0,,
GameEvents,table,nil,是,否,0,0,,
GameInfo,table,table,是,是,0,0,是,是
GameRandomEvents,table,table,是,是,0,0,,
GameSpeed_Turns,nil,nil,否,否,0,0,,
GameSpeeds,nil,nil,否,否,0,0,,
GameSummary,table,table,是,是,0,0,,
GenerationalInstanceManager,nil,table,否,是,0,0,,
GlobalParameters,table,table,是,是,0,0,是,是
GoodyHutSubTypes,nil,nil,否,否,0,0,,
GoodyHutTypes,nil,nil,否,否,0,0,,
GoodyHuts,nil,nil,否,否,0,0,,
GovernmentSlots,nil,nil,否,否,0,0,,
Government_SlotCounts,nil,nil,否,否,0,0,,
Governments,nil,nil,否,否,0,0,,
GovernorPromotionModifiers,nil,nil,否,否,0,0,,
GovernorPromotionSets,nil,nil,否,否,0,0,,
GovernorPromotions,nil,nil,否,否,0,0,,
Governors,nil,nil,否,否,0,0,,
GreatPersonClasses,nil,nil,否,否,0,0,,
GreatPersonIndividualActionModifiers,nil,nil,否,否,0,0,,
GreatPersonIndividualBirthModifiers,nil,nil,否,否,0,0,,
GreatPersonIndividuals,nil,nil,否,否,0,0,,
GreatWork_RelicData,nil,nil,否,否,0,0,,
