命名空间/类,调用形态,文档可用性,条目数,GP存在,UI存在,GP不可判,UI不可判,双端,仅GP,仅UI,双端未见,一致,文档偏窄,文档偏宽,文档存疑,无法验证,文档转储,动态代理
CodeBuddyFuncs,Dot (Global),Both,595,0,0,0,0,0,0,0,595,0,0,0,0,0,595,0
CodeBuddyFuncsRaw,Dot (Global),Both,595,0,0,0,0,0,0,0,595,0,0,0,0,0,595,0
Player,Colon (Instance),UI,475,242,328,0,0,122,120,206,27,448,0,15,12,0,0,0
City,Dot (Global),Both,280,117,225,0,0,62,55,163,0,279,0,1,0,0,0,0
UI,Dot (Global),UI,261,0,246,20,0,0,0,246,15,246,0,5,10,0,0,0
Game,Dot (Global),UI,244,114,206,0,0,79,35,127,3,241,0,2,1,0,0,0
Unit,Colon (Instance),Both,171,119,107,0,0,59,60,48,4,167,0,4,0,0,0,0
Plot,Colon (Instance),Both,111,111,109,0,0,109,2,0,0,111,0,0,0,0,0,0
Network,Dot (Global),UI,110,0,110,0,0,0,0,110,0,110,0,0,0,0,0,0
WorldBuilder,Dot (Global),Both,101,101,2,0,0,2,99,0,0,101,0,0,0,0,0,0
Control,Colon (Instance),UI,84,0,84,84,0,0,0,84,0,84,0,0,0,0,0,0
GameConfiguration,Dot (Global),UI,83,10,83,0,0,10,0,73,0,83,0,0,0,0,0,0
Modding,Dot (Global),Both,60,0,58,0,0,0,0,58,2,58,0,2,0,0,0,0
PlayerConfiguration,Colon (Instance),Both,57,18,55,0,0,16,2,39,0,57,0,0,0,0,0,0
TunerUtilities,Dot (Global),Both,57,0,57,0,0,0,0,57,0,0,0,57,0,0,0,0
UnitManager,Dot (Global),GamePlay,55,19,31,0,0,4,15,27,9,46,0,2,7,0,0,0
UserConfiguration,Dot (Global),UI,53,0,53,0,0,0,0,53,0,53,0,0,0,0,0,0
GameClimate,Dot (Global),Both,51,51,51,0,0,51,0,0,0,51,0,0,0,0,0,0
Map,Dot (Global),GamePlay,44,31,37,0,0,28,3,9,4,40,0,3,1,0,0,0
ContextPtr,Colon (Instance),UI,43,0,43,0,0,0,0,43,0,43,0,0,0,0,0,0
AssetPreview,Dot (Global),UI,41,0,41,0,0,0,0,41,0,41,0,0,0,0,0,0
GameEffects,Dot (Global),Both,40,40,40,0,0,40,0,0,0,40,0,0,0,0,0,0
